TECHNOLOGIES,energyCost,capacity,EnergyNbhourCap,RampConstraintPlus,RampConstraintMoins,RampConstraintPlus2,RampConstraintMoins2
TAC,60.02,4000,0.0,0.0,0.0,0,0
Coal,40.04,2000,0.0,0.06,0.06,0,0
CCG,50.02,12000,0.0,0.06,0.06,0,0
OldNuke,7.0,63000,0.0,0.04,0.04,0,0
NukeCarrene,7.0,0,0.0,0.0,0.0,0,0
NewNuke,7.0,0,0.0,0.0,0.0,0,0
WindOnShore,0.0,14900,0.0,0.0,0.0,0,0
WindOffShore,0.0,0,0.0,0.0,0.0,0,0
HydroLake,0.0,12500,3638.1,0.0,0.0,0,0
HydroRiver,0.0,7500,0.0,0.0,0.0,0,0
Solar,0.0,9600,0.0,0.0,0.0,0,0
ResidentialRoofTopSolar,0.0,0,0.0,0.0,0.0,0,0
IndusRoofTopSolar,0.0,0,0.0,0.0,0.0,0,0
