AREAS;STOCK_TECHNO;storageCost_power_in;storageCost_power_out;storageCost_energy;p_min_in;p_min_out;p_max_in;p_max_out;efficiency_in;dissipation;efficiency_out;p_max_out_eq_p_max_in;h_max
FR;Battery;19984,582846441226;0,0;19751,203274778207;0;0,0;100000;100000;0,95;0,0;0,95;yes;4,0
FR;HydroStorage;96549,928774817;0,0;0,0;5049;5049,0;10899;10899;0,9;0,0;0,9;yes;20,0
FR;PowertoH2toPower;101185,46182382565;105166,4510067573;15,0;0;0,0;100000;100000;0,7;1,2e-05;0,58;no;0,0
BE;Battery;19984,582846441226;0,0;19751,203274778207;0;0,0;100000;100000;0,95;0,0;0,95;yes;4,0
BE;HydroStorage;96549,928774817;0,0;0,0;1308;1308,0;1308;1308;0,9;0,0;0,9;yes;4,0
BE;PowertoH2toPower;101185,46182382565;105166,4510067573;15,0;0;0,0;100000;100000;0,7;1,2e-05;0,58;no;0,0
CH;Battery;19984,582846441226;0,0;19751,203274778207;0;0,0;100000;100000;0,95;0,0;0,95;yes;4,0
CH;HydroStorage;96549,928774817;0,0;0,0;6681;6681,0;9181;9181;0,9;0,0;0,9;yes;65,0
CH;PowertoH2toPower;101185,46182382565;105166,4510067573;15,0;0;0,0;100000;100000;0,7;1,2e-05;0,58;no;0,0
DE;Battery;19984,582846441226;0,0;19751,203274778207;0;0,0;100000;100000;0,95;0,0;0,95;yes;4,0
DE;HydroStorage;96549,928774817;0,0;0,0;6200;6200,0;7400;7400;0,9;0,0;0,9;yes;6,0
DE;PowertoH2toPower;101185,46182382565;105166,4510067573;15,0;0;0,0;200000;200000;0,7;1,2e-05;0,58;no;0,0
ES;Battery;19984,582846441226;0,0;19751,203274778207;0;0,0;100000;100000;0,95;0,0;0,95;yes;4,0
ES;HydroStorage;96549,928774817;0,0;0,0;6000;6000,0;16000;16000;0,9;0,0;0,9;yes;19,0
ES;PowertoH2toPower;101185,46182382565;105166,4510067573;15,0;0;0,0;100000;100000;0,7;1,2e-05;0,58;no;0,0
GB;Battery;19984,582846441226;0,0;19751,203274778207;0;0,0;100000;100000;0,95;0,0;0,95;yes;4,0
GB;HydroStorage;96549,928774817;0,0;0,0;4309;4309,0;7809;7809;0,9;0,0;0,9;yes;13,0
GB;PowertoH2toPower;101185,46182382565;105166,4510067573;15,0;0;0,0;100000;100000;0,7;1,2e-05;0,58;no;0,0
IT;Battery;19984,582846441226;0,0;19751,203274778207;0;0,0;100000;100000;0,95;0,0;0,95;yes;4,0
IT;HydroStorage;96549,928774817;0,0;0,0;7685;7685,0;19685;19685;0,9;0,0;0,9;yes;13,0
IT;PowertoH2toPower;101185,46182382565;105166,4510067573;15,0;0;0,0;100000;100000;0,7;1,2e-05;0,58;no;0,0
