TECHNOLOGIES;energyCost;capacityCost;minCapacity;maxCapacity;EnergyNbhourCap;RampConstraintPlus;RampConstraintMoins;RampConstraintPlus2;RampConstraintMoins2
CCG;125,44447087;82152,86757782596;0;0;0;0,5;0,5;0;0
TAC;173,16617406;51022,63904821889;0;0;0;0,0;0,0;0;0
OldNuke;10,0;217684,8230771467;0;0;0;0,04;0,04;0;0
NewNuke;10,0;307066,03084560717;18350;18350;0;0,04;0,04;0;0
WindOnShore;0,0;75045,27809643777;37000;37000;0;0,0;0,0;0;0
WindOffShore;0,0;128213,33123078811;40000;49000;0;0,0;0,0;0;0
HydroRiver;0,0;90418,16522;11030;11030;0;0,0;0,0;0;0
NewHydroRiver;0,0;163506,8217050344;0;1200;0;0,0;0,0;0;0
Solar;0,0;59759,55149728537;100000;350000;0;0,0;0,0;0;0
curtailment;3000,0;0,0;0;0;0;0,0;0,0;0;0
HydroReservoir;0,0;70577,84757;8785;8785;1636;0,0;0,0;0;0
Biomass;42,0;241817,5936547926;2031;3000;0;0,06;0,06;0;0
Coal;218,67919547;127728,44511449587;0;0;0;0,06;0,06;0;0
