#CAPEX €/kW,,,,,,,,,
#dismantling €/kW,,,,,,,,,
#Variable €/MWh,,,,,,,,,
#FOM €/kW/year,,,,,,,,,
#LL year,,,,,,,,,
#CL year,,,,,,,,,
#CO2Emission gCO2/kWh,,,,,,,,,
YEAR,AREAS,TECHNOLOGIES,CAPEX,dismantling,Variable,FOM,LL,CL,CO2Emission
2019,FR,TAC,600,100,60,36,30,2,600
2019,FR,Coal,1100,100,40,36,30,2,1000
2019,FR,CCG,900,100,50,36,30,2,470
2019,FR,OldNuke,0,1000,7,150,60,0,0
2019,FR,NukeCarrene,1587,1000,7,200,60,0,0
2019,FR,NewNuke,4000,1000,7,200,60,10,0
2019,FR,WindOnShore,1300,50,0,45,30,2,0
2019,FR,WindOffShore,2500,100,0,114,30,3,0
2019,FR,HydroLake,1500,10,0,20,80,10,0
2019,FR,HydroRiver,1500,10,0,20,80,10,0
2019,FR,Solar,800,30,0,20,25,1,0
2019,FR,ResidentialRoofTopSolar,1400,30,0,5,25,0,0
2019,FR,IndusRoofTopSolar,1000,30,0,20,25,1,0
2019,FR,curtailment ,0,0,3000,0,1,0,0
2019,DE,TAC,600,100,60,36,30,2,600
2019,DE,Coal,1100,100,40,36,30,2,1000
2019,DE,Lignite,900,100,50,36,30,2,470
2019,DE,OldNuke,0,1000,7,150,60,0,0
2019,DE,CCG,900,100,50,36,30,2,470
2019,DE,Biomass,1100,100,40,36,30,2,1000
2019,DE,WindOnShore,1300,50,0,45,30,2,0
2019,DE,WindOffShore,2500,100,0,114,30,3,0
2019,DE,HydroLake,1500,10,0,20,80,10,0
2019,DE,HydroRiver,1500,10,0,20,80,10,0
2019,DE,Solar,800,30,0,20,25,1,0
2019,DE,ResidentialRoofTopSolar,1400,30,0,5,25,0,0
2019,DE,IndusRoofTopSolar,1000,30,0,20,25,1,0
2019,DE,curtailment ,0,0,3000,0,1,0,0
