Année;Electrique;Hybride rechargeable;Hydrogène;GNV;Autres fossiles
2021;244862;157445;0;153769;37790190
2022;419536;306334;0;196539;37423652
2023;881702;474692;746;229334;36759586
2024;1670651;662910;2350;250133;35759536
2025;2822840;871285;4907;256788;34389759
2026;4276723;1085439;8290;247148;32727979
2027;5863297;1248418;12341;237273;30984251
2028;7580224;1360089;16978;226919;29160841
2029;9418446;1420438;22248;216222;27266148
2030;11372565;1429601;28068;205739;25306094
2031;13433075;1388388;34465;194988;23291151
2032;15434358;1342877;40662;184288;21339882
2033;17368355;1293983;46658;173308;19459763
2034;19233021;1242021;52504;162826;17651695
2035;21023476;1188245;58169;152240;15918905
2036;22736475;1131929;63510;142005;14266827
2037;24369393;1074209;68653;131696;12695780
2038;25919025;1015930;73566;121970;11209240
2039;27384898;957043;78210;112393;9807187
2040;28765701;898378;82676;103380;8489429
2041;30059407;839569;86931;94823;7257054
2042;31270112;781941;90842;86588;6107931
2043;32398548;725490;94436;78775;5037492
2044;33443349;670565;97876;71402;4051549
2045;34409818;617481;100983;64653;3141806
2046;35297925;566043;103890;58269;2308426
2047;36113037;516942;106512;52238;1545670
2048;36857984;470590;108897;46708;850220
2049;37537571;426630;111043;41562;216996
2050;37606740;385249;111478;36913;193422
2051;37670491;346837;111751;32652;172071
2052;37730141;310688;111939;28810;152224
2053;37784383;277288;112319;25391;134421
2054;37834353;246529;112679;22137;118104
2055;37879437;218374;113078;19324;103589
2056;37920479;192813;113286;16762;90462
2057;37957459;169601;113511;14459;78772
2058;37990916;148554;113596;12406;68330
2059;38021053;129384;113761;10706;58898
2060;38047793;112198;113888;9206;50717
